k_carriers,window_ms,window_sec,phase_levels,phase_bits,snr_power,snr_db,snr_mode,freq_min_hz,freq_max_hz,freq_spacing_hz,cycles_at_20hz,cycles_at_40hz,fourier_resolution_hz,n_trials,fs_hz,per_carrier_accuracy,codeword_accuracy,target_accuracy
32,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.6451612903225806,1.0,2.0,20.0,100,1000.0,0.6215625,0.0,0.9
33,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.625,1.0,2.0,20.0,100,1000.0,0.613030303030303,0.0,0.9
34,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.6060606060606061,1.0,2.0,20.0,100,1000.0,0.6114705882352941,0.0,0.9
35,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.5882352941176471,1.0,2.0,20.0,100,1000.0,0.6054285714285714,0.0,0.9
36,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.5714285714285714,1.0,2.0,20.0,100,1000.0,0.6013888888888889,0.0,0.9
37,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.5555555555555556,1.0,2.0,20.0,100,1000.0,0.607027027027027,0.0,0.9
38,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.5405405405405406,1.0,2.0,20.0,100,1000.0,0.6105263157894737,0.0,0.9
39,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.5263157894736842,1.0,2.0,20.0,100,1000.0,0.6123076923076923,0.0,0.9
40,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.5128205128205128,1.0,2.0,20.0,100,1000.0,0.6045,0.0,0.9
41,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.5,1.0,2.0,20.0,100,1000.0,0.5929268292682927,0.0,0.9
42,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.4878048780487805,1.0,2.0,20.0,100,1000.0,0.6035714285714285,0.0,0.9
43,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.47619047619047616,1.0,2.0,20.0,100,1000.0,0.5955813953488373,0.0,0.9
44,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.46511627906976744,1.0,2.0,20.0,100,1000.0,0.6052272727272727,0.0,0.9
45,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.45454545454545453,1.0,2.0,20.0,100,1000.0,0.5884444444444444,0.0,0.9
46,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.4444444444444444,1.0,2.0,20.0,100,1000.0,0.5919565217391304,0.0,0.9
47,50,0.05,2,1.0,0.2,-6.9897000433601875,per_carrier_power,20.0,40.0,0.43478260869565216,1.0,2.0,20.0,100,1000.0,0.5838297872340426,0.0,0.9
