k_carriers,window_ms,window_sec,phase_levels,phase_bits,snr_power,snr_db,snr_mode,noise_spectrum,f_ref_hz,freq_min_hz,freq_max_hz,freq_spacing_hz,cycles_at_20hz,cycles_at_40hz,fourier_resolution_hz,n_trials,fs_hz,per_carrier_accuracy,codeword_accuracy
29,100,0.1,4,2.0,0.003,-25.228787452803374,per_carrier_power,white,28.284271247461902,20.0,40.0,0.7142857142857143,2.0,4.0,10.0,2500,1000.0,0.35499310344827584,0.0
30,100,0.1,4,2.0,0.003,-25.228787452803374,per_carrier_power,white,28.284271247461902,20.0,40.0,0.6896551724137931,2.0,4.0,10.0,2500,1000.0,0.3568266666666667,0.0
1,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,,2.0,4.0,10.0,2500,1000.0,0.4888,0.4888
2,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,20.0,2.0,4.0,10.0,2500,1000.0,0.466,0.2128
3,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,10.0,2.0,4.0,10.0,2500,1000.0,0.4712,0.102
4,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,6.666666666666667,2.0,4.0,10.0,2500,1000.0,0.4687,0.0492
5,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,5.0,2.0,4.0,10.0,2500,1000.0,0.45968,0.0184
6,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,4.0,2.0,4.0,10.0,2500,1000.0,0.45613333333333334,0.0068
7,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,3.3333333333333335,2.0,4.0,10.0,2500,1000.0,0.4409142857142857,0.0028
8,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,2.857142857142857,2.0,4.0,10.0,2500,1000.0,0.43515,0.0008
9,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,2.5,2.0,4.0,10.0,2500,1000.0,0.43017777777777777,0.0012
10,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,2.2222222222222223,2.0,4.0,10.0,2500,1000.0,0.42192,0.0
11,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,2.0,2.0,4.0,10.0,2500,1000.0,0.41745454545454547,0.0
12,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,1.8181818181818181,2.0,4.0,10.0,2500,1000.0,0.41146666666666665,0.0
13,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,1.6666666666666667,2.0,4.0,10.0,2500,1000.0,0.4076923076923077,0.0
14,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,1.5384615384615385,2.0,4.0,10.0,2500,1000.0,0.40354285714285715,0.0
15,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,1.4285714285714286,2.0,4.0,10.0,2500,1000.0,0.39842666666666665,0.0
16,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,1.3333333333333333,2.0,4.0,10.0,2500,1000.0,0.397275,0.0
17,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,1.25,2.0,4.0,10.0,2500,1000.0,0.3920235294117647,0.0
18,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,1.1764705882352942,2.0,4.0,10.0,2500,1000.0,0.3923111111111111,0.0
19,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,1.1111111111111112,2.0,4.0,10.0,2500,1000.0,0.3872842105263158,0.0
20,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,1.0526315789473684,2.0,4.0,10.0,2500,1000.0,0.3849,0.0
21,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,1.0,2.0,4.0,10.0,2500,1000.0,0.3821333333333333,0.0
22,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,0.9523809523809523,2.0,4.0,10.0,2500,1000.0,0.3810727272727273,0.0
23,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,0.9090909090909091,2.0,4.0,10.0,2500,1000.0,0.37869565217391304,0.0
24,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,0.8695652173913043,2.0,4.0,10.0,2500,1000.0,0.3756833333333333,0.0
25,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,0.8333333333333334,2.0,4.0,10.0,2500,1000.0,0.373184,0.0
26,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,0.8,2.0,4.0,10.0,2500,1000.0,0.3715230769230769,0.0
27,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,0.7692307692307693,2.0,4.0,10.0,2500,1000.0,0.37045925925925927,0.0
28,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,0.7407407407407407,2.0,4.0,10.0,2500,1000.0,0.36551428571428574,0.0
29,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,0.7142857142857143,2.0,4.0,10.0,2500,1000.0,0.3664965517241379,0.0
30,100,0.1,4,2.0,0.005,-23.010299956639813,per_carrier_power,white,28.284271247461902,20.0,40.0,0.6896551724137931,2.0,4.0,10.0,2500,1000.0,0.36466666666666664,0.0
1,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,,2.0,4.0,10.0,2500,1000.0,0.5832,0.5832
2,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,20.0,2.0,4.0,10.0,2500,1000.0,0.5794,0.3288
3,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,10.0,2.0,4.0,10.0,2500,1000.0,0.5872,0.2004
4,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,6.666666666666667,2.0,4.0,10.0,2500,1000.0,0.5614,0.1
5,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,5.0,2.0,4.0,10.0,2500,1000.0,0.53432,0.0396
6,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,4.0,2.0,4.0,10.0,2500,1000.0,0.5054,0.0124
7,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,3.3333333333333335,2.0,4.0,10.0,2500,1000.0,0.49714285714285716,0.0036
8,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,2.857142857142857,2.0,4.0,10.0,2500,1000.0,0.47315,0.0024
9,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,2.5,2.0,4.0,10.0,2500,1000.0,0.46924444444444446,0.0012
10,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,2.2222222222222223,2.0,4.0,10.0,2500,1000.0,0.46424,0.0
11,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,2.0,2.0,4.0,10.0,2500,1000.0,0.4482909090909091,0.0
12,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,1.8181818181818181,2.0,4.0,10.0,2500,1000.0,0.4421333333333333,0.0
13,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,1.6666666666666667,2.0,4.0,10.0,2500,1000.0,0.4355076923076923,0.0
14,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,1.5384615384615385,2.0,4.0,10.0,2500,1000.0,0.4337142857142857,0.0
15,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,1.4285714285714286,2.0,4.0,10.0,2500,1000.0,0.4238133333333333,0.0
16,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,1.3333333333333333,2.0,4.0,10.0,2500,1000.0,0.41585,0.0
17,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,1.25,2.0,4.0,10.0,2500,1000.0,0.4119058823529412,0.0
18,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,1.1764705882352942,2.0,4.0,10.0,2500,1000.0,0.4058888888888889,0.0
19,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,1.1111111111111112,2.0,4.0,10.0,2500,1000.0,0.40370526315789473,0.0
20,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,1.0526315789473684,2.0,4.0,10.0,2500,1000.0,0.4014,0.0
21,100,0.1,4,2.0,0.01,-20.0,per_carrier_power,white,28.284271247461902,20.0,40.0,1.0,2.0,4.0,10.0,2500,1000.0,0.3983809523809524,0.0
