metric,phase_levels,phase_bits,window_ms,target_accuracy,max_simultaneous_carriers
per_carrier_accuracy,32,5.0,500,0.95,0
per_carrier_accuracy,32,5.0,500,0.98,0
per_carrier_accuracy,32,5.0,500,0.996,0
per_carrier_accuracy,32,5.0,1000,0.9,0
per_carrier_accuracy,32,5.0,1000,0.95,0
per_carrier_accuracy,32,5.0,1000,0.98,0
per_carrier_accuracy,32,5.0,1000,0.996,0
per_carrier_accuracy,32,5.0,2000,0.9,6
per_carrier_accuracy,32,5.0,2000,0.95,0
per_carrier_accuracy,32,5.0,2000,0.98,0
per_carrier_accuracy,32,5.0,2000,0.996,0
per_carrier_accuracy,64,6.0,50,0.9,0
per_carrier_accuracy,64,6.0,50,0.95,0
per_carrier_accuracy,64,6.0,50,0.98,0
per_carrier_accuracy,64,6.0,50,0.996,0
per_carrier_accuracy,64,6.0,100,0.9,0
per_carrier_accuracy,64,6.0,100,0.95,0
per_carrier_accuracy,64,6.0,100,0.98,0
per_carrier_accuracy,64,6.0,100,0.996,0
per_carrier_accuracy,64,6.0,200,0.9,0
per_carrier_accuracy,64,6.0,200,0.95,0
per_carrier_accuracy,64,6.0,200,0.98,0
per_carrier_accuracy,64,6.0,200,0.996,0
per_carrier_accuracy,64,6.0,500,0.9,0
per_carrier_accuracy,64,6.0,500,0.95,0
per_carrier_accuracy,64,6.0,500,0.98,0
per_carrier_accuracy,64,6.0,500,0.996,0
per_carrier_accuracy,64,6.0,1000,0.9,0
per_carrier_accuracy,64,6.0,1000,0.95,0
per_carrier_accuracy,64,6.0,1000,0.98,0
per_carrier_accuracy,64,6.0,1000,0.996,0
per_carrier_accuracy,64,6.0,2000,0.9,0
per_carrier_accuracy,64,6.0,2000,0.95,0
per_carrier_accuracy,64,6.0,2000,0.98,0
per_carrier_accuracy,64,6.0,2000,0.996,0
